net,length_um
_1037_,23.56µm
_2025_,23.56µm
_1735_,23.42µm
_1839_,23.41µm
_0969_,23.36µm
_1567_,23.36µm
_0438_,23.34µm
_1867_,23.34µm
_1696_,23.32µm
_1797_,23.32µm
_2297_,23.32µm
_0123_,23.24µm
_0376_,23.22µm
_1582_,23.2µm
_1833_,23.16µm
_2087_,23.16µm
_1739_,23.12µm
_0180_,23.1µm
_0161_,23.06µm
_1835_,23.02µm
_1397_,22.96µm
_1634_,22.88µm
_1871_,22.88µm
_2248_,22.8µm
_0435_,22.66µm
_0352_,22.64µm
_1573_,22.64µm
_1785_,22.64µm
_0721_,22.58µm
_2344_,22.58µm
_2184_,22.56µm
_0203_,22.54µm
_0998_,22.52µm
_1482_,22.52µm
_2377_,22.52µm
_0782_,22.5µm
_0864_,22.48µm
_2376_,22.44µm
_2096_,22.38µm
_0528_,22.34µm
_1630_,22.28µm
_1697_,22.26µm
in1[3],22.26µm
_0208_,22.22µm
_0880_,22.22µm
_2446_,22.22µm
_0038_,22.215µm
_0356_,22.18µm
_1781_,22.18µm
_2105_,22.18µm
_0669_,22.16µm
_0466_,22.14µm
in1[1],22.14µm
_1000_,22.12µm
_0131_,22.1µm
_1659_,22.04µm
_1013_,22.02µm
_1807_,22µm
_1681_,21.97µm
_2460_,21.94µm
_0385_,21.92µm
_0396_,21.92µm
_2080_,21.915µm
_1893_,21.86µm
_0075_,21.84µm
_2086_,21.82µm
_1926_,21.78µm
_0280_,21.76µm
_0291_,21.76µm
_0757_,21.74µm
_1961_,21.74µm
_0456_,21.7µm
_0237_,21.68µm
_0202_,21.66µm
_2224_,21.66µm
_1413_,21.64µm
_0313_,21.62µm
_0689_,21.62µm
_0732_,21.62µm
_1918_,21.62µm
_0915_,21.6µm
_0459_,21.59µm
_0141_,21.56µm
_2103_,21.545µm
_0390_,21.48µm
_0106_,21.44µm
_0928_,21.44µm
_0594_,21.4µm
_0773_,21.38µm
_2191_,21.38µm
_0799_,21.36µm
_2447_,21.36µm
_1957_,21.32µm
_0479_,21.3µm
_1599_,21.28µm
_0557_,21.24µm
_2219_,21.24µm
_0917_,21.22µm
_1684_,21.2µm
_1947_,21.18µm
_2400_,21.16µm
_2013_,21.14µm
_1829_,21.12µm
in1_reg\[12\],21.12µm
_1139_,21.11µm
_0801_,21.08µm
net15,21.08µm
_1039_,21.06µm
_1847_,21.06µm
_0140_,21.04µm
_0183_,21.04µm
_1841_,21µm
_0070_,20.96µm
_0706_,20.96µm
_0084_,20.94µm
_0792_,20.94µm
_0676_,20.92µm
_2038_,20.88µm
_1024_,20.84µm
_2111_,20.84µm
_2063_,20.82µm
_0931_,20.8µm
_1137_,20.8µm
_1462_,20.8µm
_1591_,20.8µm
_2016_,20.8µm
_0889_,20.74µm
_1065_,20.72µm
_2288_,20.72µm
_0321_,20.68µm
_2141_,20.62µm
_2178_,20.62µm
_0853_,20.58µm
_1924_,20.58µm
_2149_,20.58µm
_0102_,20.54µm
_0277_,20.54µm
_1213_,20.52µm
_2397_,20.52µm
_0648_,20.48µm
_0074_,20.44µm
_0690_,20.44µm
_0740_,20.42µm
_1780_,20.42µm
_2209_,20.42µm
_1346_,20.4µm
_1444_,20.4µm
_1327_,20.38µm
net13,20.34µm
net278,20.34µm
_0883_,20.32µm
_0664_,20.28µm
_0806_,20.26µm
_1023_,20.26µm
_0189_,20.24µm
_1153_,20.16µm
net281,20.16µm
_0765_,20.115µm
_0911_,20.08µm
_0096_,20.06µm
_1406_,20.04µm
_1036_,20.03µm
net301,19.935µm
_1546_,19.92µm
_2340_,19.92µm
_0378_,19.88µm
_2393_,19.86µm
_0367_,19.84µm
_1642_,19.8µm
_1050_,19.78µm
_0574_,19.76µm
_0295_,19.72µm
_1956_,19.68µm
_0866_,19.66µm
_1440_,19.66µm
_0211_,19.62µm
_0246_,19.62µm
_0429_,19.62µm
_1611_,19.62µm
_1666_,19.62µm
_0989_,19.58µm
_0990_,19.54µm
_0441_,19.5µm
_1868_,19.5µm
_0896_,19.48µm
_0547_,19.4µm
_1939_,19.4µm
_2125_,19.38µm
_0115_,19.36µm
_0569_,19.355µm
_1277_,19.34µm
_1455_,19.34µm
_1831_,19.34µm
_1937_,19.34µm
_2252_,19.34µm
_0916_,19.3µm
_0830_,19.29µm
_0949_,19.28µm
_1070_,19.28µm
_2281_,19.28µm
_2392_,19.28µm
_0716_,19.26µm
_1371_,19.26µm
_0293_,19.24µm
_0215_,19.22µm
_0452_,19.22µm
_0502_,19.18µm
_1392_,19.18µm
_1019_,19.16µm
_0507_,19.14µm
in2[6],19.14µm
_0875_,19.095µm
_1941_,19.08µm
_1473_,19.06µm
_1613_,19.05µm
_2167_,19.04µm
_2352_,19.04µm
in2[8],19.02µm
_0794_,18.98µm
_2242_,18.96µm
_2394_,18.94µm
_0173_,18.92µm
_0730_,18.92µm
_2271_,18.82µm
