net,length_um
in3[7],6.79µm
_0706_,6.78µm
in2[21],6.77µm
_0510_,6.76µm
_0661_,6.74µm
_0809_,6.74µm
_0111_,6.72µm
_0873_,6.72µm
_0930_,6.72µm
net60,6.72µm
in2[2],6.69µm
out[6],6.69µm
in1[24],6.67µm
_0064_,6.66µm
_0475_,6.66µm
net226,6.66µm
_0803_,6.64µm
_0899_,6.64µm
net177,6.64µm
_0569_,6.62µm
_0931_,6.62µm
_0088_,6.6µm
_0291_,6.6µm
_0603_,6.6µm
_0898_,6.6µm
_0756_,6.52µm
_0881_,6.52µm
_0233_,6.46µm
in2[43],6.45µm
in2[32],6.43µm
in2[8],6.43µm
in3[16],6.43µm
in3[40],6.43µm
_0908_,6.42µm
_0790_,6.36µm
in3[19],6.33µm
in3[49],6.33µm
_0927_,6.32µm
_0338_,6.3µm
_0219_,6.28µm
_0396_,6.28µm
net57,6.28µm
_0265_,6.26µm
_0281_,6.26µm
_0826_,6.26µm
in1[39],6.23µm
in1[6],6.23µm
out[52],6.23µm
rst,6.23µm
in2[51],6.21µm
out[28],6.21µm
out[29],6.21µm
out[33],6.21µm
out[36],6.21µm
out[59],6.21µm
out[60],6.21µm
out[62],6.21µm
_0118_,6.18µm
_0395_,6.18µm
_0045_,6.165µm
_0779_,6.14µm
in1[18],6.11µm
in1[28],6.11µm
in1[35],6.11µm
in1[51],6.11µm
in1[61],6.11µm
in2[26],6.11µm
in2[35],6.11µm
in3[45],6.11µm
in3[5],6.11µm
_0218_,6.08µm
_0340_,6.08µm
_0140_,6.06µm
net53,6.06µm
_0646_,6.04µm
_0922_,6.04µm
in1[33],5.97µm
in2[47],5.97µm
in1[8],5.92µm
out[43],5.87µm
out[57],5.87µm
_0243_,5.86µm
_0487_,5.86µm
_0617_,5.86µm
_0619_,5.86µm
_0777_,5.84µm
_0806_,5.84µm
_0211_,5.82µm
_0266_,5.82µm
_0275_,5.82µm
_0034_,5.805µm
_0794_,5.8µm
in1[37],5.77µm
in1[62],5.77µm
in2[3],5.77µm
in2[63],5.77µm
in3[43],5.77µm
_0387_,5.74µm
_0633_,5.74µm
