net,length_um
_07109_,57.02µm
_09283_,56.98µm
_05024_,56.95µm
clknet_leaf_14_clk,56.88µm
_04349_,56.84µm
_05190_,56.84µm
_00544_,56.72µm
clknet_leaf_46_clk,56.72µm
net983,56.7µm
_08364_,56.68µm
_01131_,56.4µm
_00305_,56.385µm
_05507_,56.34µm
_03162_,56.28µm
_03194_,56.28µm
net1190,56.2µm
term_high\[46\],56.15µm
net859,56.14µm
_07138_,56.12µm
_00458_,56.08µm
_06912_,55.98µm
_07963_,55.88µm
_03002_,55.74µm
_03449_,55.74µm
_09099_,55.66µm
net121,55.56µm
_05833_,55.36µm
_02752_,55.34µm
_05771_,55.1µm
clknet_leaf_8_clk,55.1µm
_03121_,55.08µm
net342,55.08µm
_03331_,55.03µm
_02976_,54.98µm
_03170_,54.96µm
net950,54.96µm
_05377_,54.78µm
_06787_,54.74µm
_04876_,54.6µm
_03202_,54.59µm
_07704_,54.56µm
_06893_,54.5µm
b_h\[13\],54.5µm
_10170_,54.36µm
_09496_,54.35µm
_07407_,54.28µm
_09171_,54.24µm
net1154,54.24µm
net925,54.22µm
_05023_,54.18µm
_05894_,54.12µm
net931,54.03µm
_00469_,54.01µm
clknet_leaf_1_clk,53.96µm
net139,53.88µm
_02099_,53.84µm
_07285_,53.81µm
net1135,53.8µm
_04544_,53.76µm
_06784_,53.72µm
_03532_,53.7µm
_05600_,53.7µm
_01269_,53.68µm
_02310_,53.675µm
_03456_,53.66µm
_08856_,53.66µm
_03026_,53.52µm
net1054,53.52µm
_09771_,53.49µm
_02753_,53.4µm
_03639_,53.34µm
net876,53.31µm
_08372_,53.3µm
net995,53.3µm
_02423_,53.28µm
_04767_,53.24µm
_05385_,53.2µm
_08268_,53.16µm
clknet_leaf_48_clk,53.08µm
_00546_,53.06µm
net458,53.05µm
_08166_,52.98µm
_00492_,52.94µm
_04463_,52.88µm
_01676_,52.87µm
_05666_,52.83µm
_05773_,52.8µm
_04134_,52.76µm
_08727_,52.7µm
_04365_,52.68µm
_02185_,52.66µm
_07822_,52.66µm
_03157_,52.64µm
_04430_,52.52µm
_02641_,52.38µm
_00661_,52.28µm
_03260_,52.28µm
_08124_,52.11µm
_09202_,52.1µm
_05464_,52.02µm
_05480_,52.02µm
_05262_,51.96µm
_02289_,51.88µm
_02199_,51.875µm
_10032_,51.86µm
_04737_,51.82µm
_06455_,51.76µm
_00542_,51.6µm
_09845_,51.6µm
net834,51.54µm
_09170_,51.52µm
_01060_,51.46µm
_09920_,51.42µm
_08248_,51.32µm
clknet_leaf_4_clk,51.32µm
term_high\[47\],51.3µm
_04436_,51.22µm
_07522_,51.2µm
net1053,51.02µm
_00488_,50.97µm
_02395_,50.96µm
_05446_,50.96µm
_04604_,50.94µm
_05920_,50.74µm
_05903_,50.66µm
_01093_,50.64µm
_00322_,50.625µm
_00645_,50.56µm
_07991_,50.54µm
_04033_,50.44µm
_08301_,50.42µm
_05797_,50.28µm
_07240_,50.26µm
_03068_,50.2µm
clknet_leaf_6_clk,50.16µm
net918,50.06µm
_08363_,50.04µm
net1024,50.03µm
_04642_,49.98µm
_00895_,49.88µm
_09494_,49.86µm
_06217_,49.84µm
_00694_,49.79µm
_07996_,49.78µm
_00494_,49.76µm
_07126_,49.76µm
_01143_,49.7µm
_02998_,49.69µm
_02707_,49.6µm
_01669_,49.575µm
net151,49.505µm
p_lh\[11\],49.5µm
_08413_,49.48µm
_02843_,49.44µm
_02575_,49.4µm
_05506_,49.4µm
_05056_,49.38µm
_10036_,49.38µm
net905,49.295µm
net1044,49.26µm
_10177_,49.24µm
_01090_,49.22µm
_02141_,49.18µm
_05886_,49.18µm
_07433_,49.15µm
_09204_,49.14µm
_09126_,49.12µm
_03489_,49.08µm
_04708_,49.08µm
_04777_,49.08µm
_09551_,49.08µm
_03679_,49µm
_04358_,48.98µm
_08191_,48.98µm
_00323_,48.94µm
_02186_,48.94µm
_03045_,48.94µm
_08983_,48.92µm
_09924_,48.88µm
_04988_,48.84µm
_08079_,48.82µm
net301,48.785µm
_04353_,48.7µm
_10019_,48.7µm
_01369_,48.64µm
_09075_,48.64µm
_00373_,48.565µm
_06589_,48.52µm
_07270_,48.485µm
_07995_,48.34µm
clknet_leaf_2_clk,48.32µm
_05237_,48.28µm
_05223_,48.26µm
_09030_,48.15µm
_03032_,48.12µm
_10059_,48.12µm
_00537_,47.96µm
_07894_,47.94µm
_06967_,47.9µm
_00524_,47.88µm
_07783_,47.82µm
_10127_,47.82µm
_08209_,47.78µm
_02789_,47.74µm
_00485_,47.72µm
_07438_,47.72µm
_08576_,47.7µm
_08517_,47.68µm
clknet_leaf_23_clk,47.68µm
_07843_,47.66µm
_03452_,47.6µm
net891,47.6µm
_00036_,47.545µm
_09694_,47.54µm
_06080_,47.52µm
net1427,47.48µm
_06533_,47.47µm
_09386_,47.44µm
b_h\[7\],47.36µm
_04968_,47.3µm
_03009_,47.23µm
_07834_,47.18µm
_03507_,47.17µm
_03286_,47.14µm
_08863_,47.14µm
a_l\[3\],47.1µm
_05820_,47.06µm
_08104_,47.04µm
_00325_,47.02µm
_10070_,47.02µm
_05271_,46.98µm
_03329_,46.96µm
_05155_,46.96µm
